Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
Aviso,Nro.,Emisión,Inicio,Fin,Duración,Nivel
INCREMENTO DE VIENTO EN LA SIERRA NORTE,133 (emitido),2026-04-06,2026-04-08,2026-04-09,37 Hrs.,AMARILLO
LLUVIA EN LA SELVA,128 (vigente),2026-04-04,2026-04-06,2026-04-07,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,125,2026-04-02,2026-04-04,2026-04-06,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,124,2026-04-02,2026-04-04,2026-04-05,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,120,2026-03-30,2026-04-01,2026-04-03,61 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE Y CENTRO,119,2026-03-30,2026-04-01,2026-04-02,37 Hrs.,NARANJA
LLUVIA EN LA SELVA,114,2026-03-27,2026-03-29,2026-03-31,71 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 103),111,2026-03-25,2026-03-27,2026-03-28,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE,108,2026-03-24,2026-03-25,2026-03-25,23 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE (EXTENSIÓN DEL AVISO 098),104,2026-03-22,2026-03-24,2026-03-24,16 Hrs.,NARANJA
LLUVIA EN LA SELVA,103,2026-03-22,2026-03-24,2026-03-26,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE,098,2026-03-19,2026-03-21,2026-03-23,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA COSTA CENTRO Y SUR Y EN LA SIERRA,092,2026-03-16,2026-03-18,2026-03-20,61 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,086,2026-03-12,2026-03-14,2026-03-14,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,084,2026-03-11,2026-03-13,2026-03-14,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA Y SIERRA,083,2026-03-11,2026-03-12,2026-03-13,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,082,2026-03-08,2026-03-10,2026-03-12,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,081,2026-03-08,2026-03-10,2026-03-12,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 075),080,2026-03-06,2026-03-08,2026-03-09,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,077,2026-03-05,2026-03-07,2026-03-09,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,075,2026-03-03,2026-03-05,2026-03-07,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,057,2026-02-20,2026-02-23,2026-02-25,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 046 ),051,2026-02-15,2026-02-17,2026-02-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,050,2026-02-14,2026-02-16,2026-02-18,71 Hrs.,NARANJA
LLUVIA EN LA SELVA (EXTENSIÓN DEL AVISO 044),047,2026-02-12,2026-02-14,2026-02-15,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,046,2026-02-12,2026-02-14,2026-02-16,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,044,2026-02-09,2026-02-11,2026-02-13,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,043,2026-02-09,2026-02-11,2026-02-13,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,040,2026-02-07,2026-02-09,2026-02-10,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 034),038,2026-02-05,2026-02-07,2026-02-08,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,035,2026-02-03,2026-02-05,2026-02-06,37 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,034,2026-02-03,2026-02-05,2026-02-06,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,033,2026-02-01,2026-02-03,2026-02-04,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA,032,2026-02-01,2026-02-03,2026-02-04,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE (EXTENSIÓN DEL AVISO 029),030,2026-01-31,2026-02-02,2026-02-02,23 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA Y COSTA NORTE,029,2026-01-29,2026-01-30,2026-02-01,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSION DEL AVISO 025 ),027,2026-01-27,2026-01-29,2026-01-29,23 Hrs.,NARANJA
LLUVIA EN LA SELVA,026,2026-01-25,2026-01-27,2026-01-29,71 Hrs.,NARANJA
LLUVIA EN LA SELVA - (EXTENSIÓN DEL AVISO N017),019,2026-01-20,2026-01-22,2026-01-23,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO N 016),018,2026-01-19,2026-01-21,2026-01-23,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,017,2026-01-18,2026-01-20,2026-01-21,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,016,2026-01-17,2026-01-19,2026-01-20,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,015,2026-01-16,2026-01-17,2026-01-18,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 010),014,2026-01-16,2026-01-17,2026-01-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,012,2026-01-13,2026-01-15,2026-01-16,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,010,2026-01-12,2026-01-14,2026-01-16,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,009,2026-01-11,2026-01-13,2026-01-14,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 005),008,2026-01-10,2026-01-11,2026-01-13,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,006,2026-01-06,2026-01-08,2026-01-09,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,005,2026-01-06,2026-01-08,2026-01-10,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,004,2026-01-05,2026-01-06,2026-01-06,23 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 001),003,2026-01-04,2026-01-06,2026-01-07,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,002,2026-01-01,2026-01-03,2026-01-05,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,001,2026-01-01,2026-01-03,2026-01-05,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,468,2025-12-29,2025-12-31,2026-01-01,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,462,2025-12-24,2025-12-26,2025-12-28,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,461,2025-12-24,2025-12-26,2025-12-28,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA (EXTENSIÓN DEL AVISO 455),458,2025-12-21,2025-12-23,2025-12-24,47 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA Y COSTA SUR,457,2025-12-21,2025-12-23,2025-12-25,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,456,2025-12-21,2025-12-23,2025-12-25,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,455,2025-12-18,2025-12-20,2025-12-22,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,452,2025-12-17,2025-12-20,2025-12-22,61 Hrs.,ROJO
PRECIPITACIONES EN LA SIERRA,451,2025-12-17,2025-12-19,2025-12-19,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA,450,2025-12-17,2025-12-19,2025-12-19,23 Hrs.,AMARILLO
LLUVIA EN LA SELVA - TRIGÉSIMO FRIAJE,447,2025-12-14,2025-12-16,2025-12-18,53 Hrs.,NARANJA
LLUVIA EN LA SELVA,444,2025-12-13,2025-12-14,2025-12-15,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 440),442,2025-12-11,2025-12-13,2025-12-14,47 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,440,2025-12-08,2025-12-10,2025-12-12,61 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA,436,2025-12-05,2025-12-07,2025-12-09,61 Hrs.,ROJO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,434,2025-12-04,2025-12-06,2025-12-08,71 Hrs.,ROJO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,433,2025-12-02,2025-12-04,2025-12-06,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,430,2025-12-01,2025-12-03,2025-12-05,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA Y COSTA NORTE,428,2025-11-29,2025-12-01,2025-12-03,59 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,426,2025-11-28,2025-11-30,2025-12-02,71 Hrs.,NARANJA
LLUVIA EN LA SELVA - VIGÉSIMO NOVENO FRIAJE,421,2025-11-20,2025-11-22,2025-11-24,71 Hrs.,NARANJA
LLUVIA EN LA SELVA-VIGÉSIMO OCTAVO FRIAJE,412,2025-11-14,2025-11-17,2025-11-18,27 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,409,2025-11-13,2025-11-15,2025-11-17,59 Hrs.,NARANJA
LLUVIA EN LA SELVA - VIGÉSIMO SÉPTIMO FRIAJE,406,2025-11-11,2025-11-14,2025-11-16,61 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,403,2025-11-09,2025-11-11,2025-11-12,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA NORTE Y CENTRO,402,2025-11-09,2025-11-10,2025-11-11,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA,394,2025-11-03,2025-11-05,2025-11-07,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,391,2025-11-02,2025-11-04,2025-11-05,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,389,2025-10-31,2025-11-02,2025-11-04,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (EXTENSIÓN DEL AVISO 377),382,2025-10-27,2025-10-28,2025-10-28,23 Hrs.,NARANJA
LLUVIA EN LA SELVA - VIGÉSIMO QUINTO FRIAJE,379,2025-10-25,2025-10-28,2025-10-29,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,378,2025-10-24,2025-10-26,2025-10-27,35 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,377,2025-10-24,2025-10-26,2025-10-27,47 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,361,2025-10-13,2025-10-15,2025-10-17,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,360,2025-10-12,2025-10-13,2025-10-13,23 Hrs.,NARANJA
LLUVIA EN LA SELVA,359,2025-10-11,2025-10-13,2025-10-14,47 Hrs.,NARANJA
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - VIGÉSIMO TERCER FRIAJE,352,2025-10-04,2025-10-07,2025-10-09,59 Hrs.,AMARILLO
LLUVIA EN LA SELVA - VIGÉSIMO TERCER FRIAJE,350,2025-10-04,2025-10-07,2025-10-09,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,349,2025-10-03,2025-10-05,2025-10-06,35 Hrs.,NARANJA
LLUVIA EN LA SELVA,347,2025-09-30,2025-10-02,2025-10-03,37 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA (ACTUALIZACIÓN DEL AVISO 338),341,2025-09-22,2025-09-23,2025-09-25,71 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,338,2025-09-21,2025-09-23,2025-09-25,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - VIGÉSIMO SEGUNDO FRIAJE,335,2025-09-20,2025-09-23,2025-09-25,61 Hrs.,NARANJA
LLUVIA EN LA SELVA - VIGÉSIMO SEGUNDO FRIAJE,333,2025-09-19,2025-09-23,2025-09-25,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,329,2025-09-17,2025-09-19,2025-09-21,59 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,322,2025-09-11,2025-09-13,2025-09-14,37 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,320,2025-09-11,2025-09-13,2025-09-15,59 Hrs.,AMARILLO
LLUVIA EN LA SELVA NORTE Y CENTRO,319,2025-09-10,2025-09-11,2025-09-12,47 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE (EXTENSIÓN DEL AVISO 316),318,2025-09-09,2025-09-11,2025-09-12,47 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE,316,2025-09-07,2025-09-09,2025-09-10,47 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - VIGÉSIMO PRIMER FRIAJE,311,2025-09-02,2025-09-05,2025-09-06,37 Hrs.,AMARILLO
LLUVIA EN LA SELVA - VIGÉSIMO PRIMER FRIAJE,310,2025-09-02,2025-09-05,2025-09-06,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA,309,2025-08-31,2025-09-02,2025-09-04,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,308,2025-08-30,2025-09-01,2025-09-01,13 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 298),304,2025-08-28,2025-08-29,2025-08-31,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,303,2025-08-27,2025-08-29,2025-08-31,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,299,2025-08-26,2025-08-28,2025-08-29,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,298,2025-08-25,2025-08-27,2025-08-28,37 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE (EXTENSIÓN DEL AVISO 292),297,2025-08-25,2025-08-27,2025-08-28,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,292,2025-08-22,2025-08-24,2025-08-26,71 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA-VIGESIMO FRIAJE,291,2025-08-21,2025-08-24,2025-08-26,61 Hrs.,NARANJA
LLUVIA EN LA SELVA-VIGESIMO FRIAJE,289,2025-08-21,2025-08-24,2025-08-26,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE Y CENTRO,284,2025-08-18,2025-08-20,2025-08-22,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,281,2025-08-15,2025-08-17,2025-08-19,61 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - DÉCIMO NOVENO FRIAJE,276,2025-08-10,2025-08-14,2025-08-15,37 Hrs.,NARANJA
LLUVIA EN LA SELVA - DÉCIMO NOVENO FRIAJE,275,2025-08-10,2025-08-14,2025-08-15,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,273,2025-08-08,2025-08-10,2025-08-12,61 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - DÉCIMO OCTAVO FRIAJE,270,2025-08-06,2025-08-09,2025-08-10,37 Hrs.,NARANJA
LLUVIA EN LA SELVA - DÉCIMO OCTAVO FRIAJE,269,2025-08-06,2025-08-09,2025-08-10,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,266,2025-08-02,2025-08-04,2025-08-05,47 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - DÉCIMO SÉPTIMO FRIAJE,264,2025-08-01,2025-08-04,2025-08-06,61 Hrs.,NARANJA
LLUVIA EN LA SELVA - DÉCIMO SÉPTIMO FRIAJE,263,2025-08-01,2025-08-04,2025-08-06,59 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE Y CENTRO,254,2025-07-24,2025-07-26,2025-07-28,61 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA NORTE Y CENTRO,253,2025-07-22,2025-07-24,2025-07-25,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,252,2025-07-22,2025-07-24,2025-07-26,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (ACTUALIZACIÓN DEL AVISO 249),251,2025-07-21,2025-07-22,2025-07-23,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 247),250,2025-07-21,2025-07-23,2025-07-23,23 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,248,2025-07-19,2025-07-21,2025-07-23,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,247,2025-07-18,2025-07-20,2025-07-22,61 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA (EXTENSIÓN DEL AVISO 242),246,2025-07-16,2025-07-18,2025-07-20,71 Hrs.,NARANJA
LLUVIA EN LA SELVA - DÉCIMO QUINTO FRIAJE,245,2025-07-15,2025-07-17,2025-07-19,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA NORTE Y CENTRO,243,2025-07-14,2025-07-16,2025-07-17,37 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA,242,2025-07-14,2025-07-15,2025-07-17,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,239,2025-07-11,2025-07-13,2025-07-15,61 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,238,2025-07-10,2025-07-12,2025-07-14,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,237,2025-07-10,2025-07-12,2025-07-13,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE (EXTENSIÓN DEL AVISO 232),236,2025-07-08,2025-07-09,2025-07-11,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,235,2025-07-07,2025-07-09,2025-07-11,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,234,2025-07-06,2025-07-09,2025-07-11,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 229),233,2025-07-05,2025-07-07,2025-07-08,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,232,2025-07-04,2025-07-06,2025-07-08,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 228),231,2025-07-04,2025-07-06,2025-07-08,71 Hrs.,NARANJA
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,229,2025-07-02,2025-07-04,2025-07-06,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA,227,2025-07-01,2025-07-03,2025-07-05,61 Hrs.,NARANJA
DÉCIMO CUARTO FRIAJE EN LA SELVA,226,2025-06-28,2025-07-01,2025-07-03,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,225,2025-06-28,2025-06-30,2025-07-02,61 Hrs.,NARANJA
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - DÉCIMO CUARTO FRIAJE,223,2025-06-27,2025-06-30,2025-07-02,61 Hrs.,ROJO
LLUVIA EN LA SELVA - DÉCIMO CUARTO FRIAJE,222,2025-06-27,2025-06-30,2025-07-02,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA (EXTENSIÓN DEL AVISO 217),219,2025-06-26,2025-06-28,2025-06-29,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 207),210,2025-06-20,2025-06-23,2025-06-23,23 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA NORTE Y CENTRO,209,2025-06-19,2025-06-22,2025-06-23,37 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,208,2025-06-19,2025-06-21,2025-06-23,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,207,2025-06-18,2025-06-20,2025-06-22,61 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA,206,2025-06-17,2025-06-18,2025-06-20,61 Hrs.,AMARILLO
LLUVIA EN LA SELVA,201,2025-06-13,2025-06-15,2025-06-17,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA - UNDÉCIMO FRIAJE,192,2025-06-06,2025-06-09,2025-06-11,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,191,2025-06-05,2025-06-07,2025-06-09,61 Hrs.,AMARILLO
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,190,2025-06-05,2025-06-07,2025-06-09,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 184),187,2025-06-02,2025-06-04,2025-06-06,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,186,2025-06-02,2025-06-04,2025-06-06,61 Hrs.,AMARILLO
DESCENSO DE TEMPERATURA NOCTURNA EN LA SIERRA,185,2025-06-01,2025-06-03,2025-06-04,47 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,184,2025-05-30,2025-06-01,2025-06-03,61 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,181,2025-05-29,2025-06-01,2025-06-03,71 Hrs.,AMARILLO
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,177,2025-05-26,2025-05-28,2025-05-30,61 Hrs.,NARANJA
LLUVIA EN LA SELVA - DÉCIMO FRIAJE,172,2025-05-24,2025-05-28,2025-05-30,60 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE,168,2025-05-20,2025-05-21,2025-05-23,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,167,2025-05-19,2025-05-21,2025-05-23,61 Hrs.,NARANJA
LLUVIA EN LA SELVA,165,2025-05-18,2025-05-20,2025-05-21,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,162,2025-05-15,2025-05-17,2025-05-18,47 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,160,2025-05-11,2025-05-13,2025-05-15,61 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA (EXTENSIÓN DEL AVISO 152),159,2025-05-10,2025-05-12,2025-05-13,47 Hrs.,NARANJA
DESCENSO DE TEMPERATURA DIURNA EN LA SELVA - NOVENO FRIAJE,155,2025-05-08,2025-05-10,2025-05-11,37 Hrs.,AMARILLO
LLUVIA EN LA SELVA - NOVENO FRIAJE,154,2025-05-08,2025-05-10,2025-05-12,71 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA (EXTENSIÓN DEL AVISO 149),153,2025-05-08,2025-05-10,2025-05-10,23 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA,152,2025-05-07,2025-05-09,2025-05-11,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SIERRA,149,2025-05-05,2025-05-07,2025-05-09,61 Hrs.,NARANJA
INCREMENTO DE TEMPERATURA DIURNA EN LA SELVA,147,2025-05-04,2025-05-06,2025-05-08,61 Hrs.,NARANJA
LLUVIA EN LA SELVA,144,2025-05-01,2025-05-03,2025-05-04,35 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA,142,2025-04-30,2025-05-02,2025-05-04,71 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA,140,2025-04-27,2025-04-29,2025-05-01,71 Hrs.,NARANJA
LLUVIA EN LA SELVA - OCTAVO FRIAJE,138,2025-04-25,2025-04-27,2025-04-29,59 Hrs.,NARANJA
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO (EXTENSIÓN DEL AVISO 133),137,2025-04-25,2025-04-27,2025-04-28,47 Hrs.,AMARILLO
PRECIPITACIONES EN LA SIERRA NORTE Y CENTRO,133,2025-04-23,2025-04-25,2025-04-26,47 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,125,2025-04-15,2025-04-17,2025-04-19,59 Hrs.,AMARILLO
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,116,2025-04-10,2025-04-11,2025-04-13,71 Hrs.,AMARILLO
LLUVIA EN LA SELVA,114,2025-04-09,2025-04-11,2025-04-12,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA - SEXTO FRIAJE,104,2025-04-02,2025-04-04,2025-04-06,57 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA (EXTENSIÓN DEL AVISO 102),103,2025-04-01,2025-04-03,2025-04-04,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,102,2025-03-31,2025-04-01,2025-04-02,47 Hrs.,NARANJA
LLUVIA EN LA SELVA,095,2025-03-26,2025-03-28,2025-03-30,71 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,094,2025-03-24,2025-03-26,2025-03-28,71 Hrs.,NARANJA
INCREMENTO DE VIENTO EN LA SIERRA NORTE Y CENTRO,088,2025-03-20,2025-03-22,2025-03-23,47 Hrs.,AMARILLO
LLUVIA EN LA SELVA - TERCER FRIAJE,083,2025-03-16,2025-03-19,2025-03-20,47 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA (EXTENSIÓN DEL AVISO 076),082,2025-03-15,2025-03-17,2025-03-18,47 Hrs.,NARANJA
LLUVIA EN LA SELVA NORTE Y CENTRO,079,2025-03-13,2025-03-15,2025-03-15,23 Hrs.,NARANJA
PRECIPITACIONES EN LA COSTA NORTE Y SIERRA,076,2025-03-12,2025-03-14,2025-03-16,71 Hrs.,NARANJA
LLUVIA EN LA SELVA,073,2025-03-10,2025-03-13,2025-03-14,47 Hrs.,NARANJA
